Header: Zwei harmonische Funktionen 
time 	signal1 	signal2 
   0.000    0.707    0.500 
   0.001    0.716    0.500 
   0.002    0.725    0.499 
   0.003    0.733    0.498 
   0.004    0.742    0.496 
   0.005    0.750    0.494 
   0.006    0.758    0.491 
   0.007    0.766    0.488 
   0.008    0.775    0.484 
   0.009    0.782    0.480 
   0.010    0.790    0.476 
   0.011    0.798    0.470 
   0.012    0.805    0.465 
   0.013    0.813    0.459 
   0.014    0.820    0.452 
   0.015    0.827    0.446 
   0.016    0.834    0.438 
   0.017    0.841    0.430 
   0.018    0.848    0.422 
   0.019    0.854    0.414 
   0.020    0.861    0.405 
   0.021    0.867    0.395 
   0.022    0.873    0.385 
   0.023    0.879    0.375 
   0.024    0.885    0.364 
   0.025    0.891    0.354 
   0.026    0.897    0.342 
   0.027    0.902    0.331 
   0.028    0.907    0.319 
   0.029    0.913    0.306 
   0.030    0.918    0.294 
   0.031    0.923    0.281 
   0.032    0.927    0.268 
   0.033    0.932    0.255 
   0.034    0.937    0.241 
   0.035    0.941    0.227 
   0.036    0.945    0.213 
   0.037    0.949    0.199 
   0.038    0.953    0.184 
   0.039    0.957    0.169 
   0.040    0.960    0.155 
   0.041    0.964    0.139 
   0.042    0.967    0.124 
   0.043    0.970    0.109 
   0.044    0.973    0.094 
   0.045    0.976    0.078 
   0.046    0.979    0.063 
   0.047    0.981    0.047 
   0.048    0.983    0.031 
   0.049    0.986    0.016 
   0.050    0.988    0.000 
   0.051    0.990   -0.016 
   0.052    0.991   -0.031 
   0.053    0.993   -0.047 
   0.054    0.994   -0.063 
   0.055    0.996   -0.078 
   0.056    0.997   -0.094 
   0.057    0.998   -0.109 
   0.058    0.998   -0.124 
   0.059    0.999   -0.139 
   0.060    1.000   -0.155 
   0.061    1.000   -0.169 
   0.062    1.000   -0.184 
   0.063    1.000   -0.199 
   0.064    1.000   -0.213 
   0.065    1.000   -0.227 
   0.066    0.999   -0.241 
   0.067    0.998   -0.255 
   0.068    0.998   -0.268 
   0.069    0.997   -0.281 
   0.070    0.996   -0.294 
   0.071    0.994   -0.306 
   0.072    0.993   -0.319 
   0.073    0.991   -0.331 
   0.074    0.990   -0.342 
   0.075    0.988   -0.354 
   0.076    0.986   -0.364 
   0.077    0.983   -0.375 
   0.078    0.981   -0.385 
   0.079    0.979   -0.395 
   0.080    0.976   -0.405 
   0.081    0.973   -0.414 
   0.082    0.970   -0.422 
   0.083    0.967   -0.430 
   0.084    0.964   -0.438 
   0.085    0.960   -0.446 
   0.086    0.957   -0.452 
   0.087    0.953   -0.459 
   0.088    0.949   -0.465 
   0.089    0.945   -0.470 
   0.090    0.941   -0.476 
   0.091    0.937   -0.480 
   0.092    0.932   -0.484 
   0.093    0.927   -0.488 
   0.094    0.923   -0.491 
   0.095    0.918   -0.494 
   0.096    0.913   -0.496 
   0.097    0.907   -0.498 
   0.098    0.902   -0.499 
   0.099    0.897   -0.500 
   0.100    0.891   -0.500 
   0.101    0.885   -0.500 
   0.102    0.879   -0.499 
   0.103    0.873   -0.498 
   0.104    0.867   -0.496 
   0.105    0.861   -0.494 
   0.106    0.854   -0.491 
   0.107    0.848   -0.488 
   0.108    0.841   -0.484 
   0.109    0.834   -0.480 
   0.110    0.827   -0.476 
   0.111    0.820   -0.470 
   0.112    0.813   -0.465 
   0.113    0.805   -0.459 
   0.114    0.798   -0.452 
   0.115    0.790   -0.446 
   0.116    0.782   -0.438 
   0.117    0.775   -0.430 
   0.118    0.766   -0.422 
   0.119    0.758   -0.414 
   0.120    0.750   -0.405 
   0.121    0.742   -0.395 
   0.122    0.733   -0.385 
   0.123    0.725   -0.375 
   0.124    0.716   -0.364 
   0.125    0.707   -0.354 
   0.126    0.698   -0.342 
   0.127    0.689   -0.331 
   0.128    0.680   -0.319 
   0.129    0.671   -0.306 
   0.130    0.661   -0.294 
   0.131    0.652   -0.281 
   0.132    0.642   -0.268 
   0.133    0.633   -0.255 
   0.134    0.623   -0.241 
   0.135    0.613   -0.227 
   0.136    0.603   -0.213 
   0.137    0.593   -0.199 
   0.138    0.583   -0.184 
   0.139    0.572   -0.169 
   0.140    0.562   -0.155 
   0.141    0.552   -0.139 
   0.142    0.541   -0.124 
   0.143    0.531   -0.109 
   0.144    0.520   -0.094 
   0.145    0.509   -0.078 
   0.146    0.498   -0.063 
   0.147    0.487   -0.047 
   0.148    0.476   -0.031 
   0.149    0.465   -0.016 
   0.150    0.454   -0.000 
   0.151    0.443    0.016 
   0.152    0.431    0.031 
   0.153    0.420    0.047 
   0.154    0.409    0.063 
   0.155    0.397    0.078 
   0.156    0.386    0.094 
   0.157    0.374    0.109 
   0.158    0.362    0.124 
   0.159    0.351    0.139 
   0.160    0.339    0.155 
   0.161    0.327    0.169 
   0.162    0.315    0.184 
   0.163    0.303    0.199 
   0.164    0.291    0.213 
   0.165    0.279    0.227 
   0.166    0.267    0.241 
   0.167    0.255    0.255 
   0.168    0.243    0.268 
   0.169    0.230    0.281 
   0.170    0.218    0.294 
   0.171    0.206    0.306 
   0.172    0.194    0.319 
   0.173    0.181    0.331 
   0.174    0.169    0.342 
   0.175    0.156    0.354 
   0.176    0.144    0.364 
   0.177    0.132    0.375 
   0.178    0.119    0.385 
   0.179    0.107    0.395 
   0.180    0.094    0.405 
   0.181    0.082    0.414 
   0.182    0.069    0.422 
   0.183    0.057    0.430 
   0.184    0.044    0.438 
   0.185    0.031    0.446 
   0.186    0.019    0.452 
   0.187    0.006    0.459 
   0.188   -0.006    0.465 
   0.189   -0.019    0.470 
   0.190   -0.031    0.476 
   0.191   -0.044    0.480 
   0.192   -0.057    0.484 
   0.193   -0.069    0.488 
   0.194   -0.082    0.491 
   0.195   -0.094    0.494 
   0.196   -0.107    0.496 
   0.197   -0.119    0.498 
   0.198   -0.132    0.499 
   0.199   -0.144    0.500 
   0.200   -0.156    0.500 
   0.201   -0.169    0.500 
   0.202   -0.181    0.499 
   0.203   -0.194    0.498 
   0.204   -0.206    0.496 
   0.205   -0.218    0.494 
   0.206   -0.230    0.491 
   0.207   -0.243    0.488 
   0.208   -0.255    0.484 
   0.209   -0.267    0.480 
   0.210   -0.279    0.476 
   0.211   -0.291    0.470 
   0.212   -0.303    0.465 
   0.213   -0.315    0.459 
   0.214   -0.327    0.452 
   0.215   -0.339    0.446 
   0.216   -0.351    0.438 
   0.217   -0.362    0.430 
   0.218   -0.374    0.422 
   0.219   -0.386    0.414 
   0.220   -0.397    0.405 
   0.221   -0.409    0.395 
   0.222   -0.420    0.385 
   0.223   -0.431    0.375 
   0.224   -0.443    0.364 
   0.225   -0.454    0.354 
   0.226   -0.465    0.342 
   0.227   -0.476    0.331 
   0.228   -0.487    0.319 
